TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF SEP 01, 2014 (B)",Home Depot Home Center : Vignette,15.9,0,15,1,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.8,0,0,0,0.8,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,5608.6,2833.9,1527.5,49.1,98.4,0,0,96.1,956.1,47.5,0
"WEEK OF SEP 08, 2014 (B)",Home Depot Home Center : Vignette,28.9,0,27.9,1,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.7,0,0,0,1.7,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,4742.3,2152.2,1515,34.3,37.1,0,0,0,956.1,47.5,0
"WEEK OF SEP 15, 2014 (B)",Home Depot Home Center : Vignette,22.1,0,22.1,0,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",Home Depot Inc : Legal Messages,67.4,0,0,0,0,0,61.3,6.1,0,0,0
"WEEK OF SEP 22, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,4,0,0,0,4,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,5152.8,2132.5,1896.6,78.1,38.2,0,0,3.7,956.1,47.5,0
"WEEK OF SEP 22, 2014 (B)",Home Depot Home Center : Vignette,22.8,0,22.5,0,0.3,0,0,0,0,0,0
